date,hits,keyword,geo,time,gprop,category,searches,hits_score
2022-07-21T00:00:00Z,35,salvini,IT,2022-07-21 2022-09-25,web,0,35,35
2022-07-22T00:00:00Z,33,salvini,IT,2022-07-21 2022-09-25,web,0,33,33
2022-07-23T00:00:00Z,24,salvini,IT,2022-07-21 2022-09-25,web,0,24,24
2022-07-24T00:00:00Z,33,salvini,IT,2022-07-21 2022-09-25,web,0,33,33
2022-07-25T00:00:00Z,28,salvini,IT,2022-07-21 2022-09-25,web,0,28,28
2022-07-26T00:00:00Z,20,salvini,IT,2022-07-21 2022-09-25,web,0,20,20
2022-07-27T00:00:00Z,22,salvini,IT,2022-07-21 2022-09-25,web,0,22,22
2022-07-28T00:00:00Z,34,salvini,IT,2022-07-21 2022-09-25,web,0,34,34
2022-07-29T00:00:00Z,26,salvini,IT,2022-07-21 2022-09-25,web,0,26,26
2022-07-30T00:00:00Z,19,salvini,IT,2022-07-21 2022-09-25,web,0,19,19
2022-07-31T00:00:00Z,19,salvini,IT,2022-07-21 2022-09-25,web,0,19,19
2022-08-01T00:00:00Z,17,salvini,IT,2022-07-21 2022-09-25,web,0,17,17
2022-08-02T00:00:00Z,22,salvini,IT,2022-07-21 2022-09-25,web,0,22,22
2022-08-03T00:00:00Z,16,salvini,IT,2022-07-21 2022-09-25,web,0,16,16
2022-08-04T00:00:00Z,21,salvini,IT,2022-07-21 2022-09-25,web,0,21,21
2022-08-05T00:00:00Z,19,salvini,IT,2022-07-21 2022-09-25,web,0,19,19
2022-08-06T00:00:00Z,18,salvini,IT,2022-07-21 2022-09-25,web,0,18,18
2022-08-07T00:00:00Z,20,salvini,IT,2022-07-21 2022-09-25,web,0,20,20
2022-08-08T00:00:00Z,29,salvini,IT,2022-07-21 2022-09-25,web,0,29,29
2022-08-09T00:00:00Z,21,salvini,IT,2022-07-21 2022-09-25,web,0,21,21
2022-08-10T00:00:00Z,19,salvini,IT,2022-07-21 2022-09-25,web,0,19,19
2022-08-11T00:00:00Z,16,salvini,IT,2022-07-21 2022-09-25,web,0,16,16
2022-08-12T00:00:00Z,14,salvini,IT,2022-07-21 2022-09-25,web,0,14,14
2022-08-13T00:00:00Z,13,salvini,IT,2022-07-21 2022-09-25,web,0,13,13
2022-08-14T00:00:00Z,16,salvini,IT,2022-07-21 2022-09-25,web,0,16,16
2022-08-15T00:00:00Z,16,salvini,IT,2022-07-21 2022-09-25,web,0,16,16
2022-08-16T00:00:00Z,16,salvini,IT,2022-07-21 2022-09-25,web,0,16,16
2022-08-17T00:00:00Z,22,salvini,IT,2022-07-21 2022-09-25,web,0,22,22
2022-08-18T00:00:00Z,19,salvini,IT,2022-07-21 2022-09-25,web,0,19,19
2022-08-19T00:00:00Z,19,salvini,IT,2022-07-21 2022-09-25,web,0,19,19
2022-08-20T00:00:00Z,21,salvini,IT,2022-07-21 2022-09-25,web,0,21,21
2022-08-21T00:00:00Z,19,salvini,IT,2022-07-21 2022-09-25,web,0,19,19
2022-08-22T00:00:00Z,24,salvini,IT,2022-07-21 2022-09-25,web,0,24,24
2022-08-23T00:00:00Z,23,salvini,IT,2022-07-21 2022-09-25,web,0,23,23
2022-08-24T00:00:00Z,25,salvini,IT,2022-07-21 2022-09-25,web,0,25,25
2022-08-25T00:00:00Z,27,salvini,IT,2022-07-21 2022-09-25,web,0,27,27
2022-08-26T00:00:00Z,25,salvini,IT,2022-07-21 2022-09-25,web,0,25,25
2022-08-27T00:00:00Z,22,salvini,IT,2022-07-21 2022-09-25,web,0,22,22
2022-08-28T00:00:00Z,31,salvini,IT,2022-07-21 2022-09-25,web,0,31,31
2022-08-29T00:00:00Z,25,salvini,IT,2022-07-21 2022-09-25,web,0,25,25
2022-08-30T00:00:00Z,25,salvini,IT,2022-07-21 2022-09-25,web,0,25,25
2022-08-31T00:00:00Z,25,salvini,IT,2022-07-21 2022-09-25,web,0,25,25
2022-09-01T00:00:00Z,28,salvini,IT,2022-07-21 2022-09-25,web,0,28,28
2022-09-02T00:00:00Z,23,salvini,IT,2022-07-21 2022-09-25,web,0,23,23
2022-09-03T00:00:00Z,19,salvini,IT,2022-07-21 2022-09-25,web,0,19,19
2022-09-04T00:00:00Z,36,salvini,IT,2022-07-21 2022-09-25,web,0,36,36
2022-09-05T00:00:00Z,24,salvini,IT,2022-07-21 2022-09-25,web,0,24,24
2022-09-06T00:00:00Z,21,salvini,IT,2022-07-21 2022-09-25,web,0,21,21
2022-09-07T00:00:00Z,30,salvini,IT,2022-07-21 2022-09-25,web,0,30,30
2022-09-08T00:00:00Z,24,salvini,IT,2022-07-21 2022-09-25,web,0,24,24
2022-09-09T00:00:00Z,22,salvini,IT,2022-07-21 2022-09-25,web,0,22,22
2022-09-10T00:00:00Z,21,salvini,IT,2022-07-21 2022-09-25,web,0,21,21
2022-09-11T00:00:00Z,20,salvini,IT,2022-07-21 2022-09-25,web,0,20,20
2022-09-12T00:00:00Z,19,salvini,IT,2022-07-21 2022-09-25,web,0,19,19
2022-09-13T00:00:00Z,20,salvini,IT,2022-07-21 2022-09-25,web,0,20,20
2022-09-14T00:00:00Z,29,salvini,IT,2022-07-21 2022-09-25,web,0,29,29
2022-09-15T00:00:00Z,28,salvini,IT,2022-07-21 2022-09-25,web,0,28,28
2022-09-16T00:00:00Z,23,salvini,IT,2022-07-21 2022-09-25,web,0,23,23
2022-09-17T00:00:00Z,22,salvini,IT,2022-07-21 2022-09-25,web,0,22,22
2022-09-18T00:00:00Z,26,salvini,IT,2022-07-21 2022-09-25,web,0,26,26
2022-09-19T00:00:00Z,22,salvini,IT,2022-07-21 2022-09-25,web,0,22,22
2022-09-20T00:00:00Z,30,salvini,IT,2022-07-21 2022-09-25,web,0,30,30
2022-09-21T00:00:00Z,28,salvini,IT,2022-07-21 2022-09-25,web,0,28,28
2022-09-22T00:00:00Z,33,salvini,IT,2022-07-21 2022-09-25,web,0,33,33
2022-09-23T00:00:00Z,40,salvini,IT,2022-07-21 2022-09-25,web,0,40,40
2022-09-24T00:00:00Z,44,salvini,IT,2022-07-21 2022-09-25,web,0,44,44
2022-09-25T00:00:00Z,100,salvini,IT,2022-07-21 2022-09-25,web,0,100,100
2022-07-21T00:00:00Z,3,matteo salvini,IT,2022-07-21 2022-09-25,web,0,3,3
2022-07-22T00:00:00Z,4,matteo salvini,IT,2022-07-21 2022-09-25,web,0,4,4
2022-07-23T00:00:00Z,6,matteo salvini,IT,2022-07-21 2022-09-25,web,0,6,6
2022-07-24T00:00:00Z,4,matteo salvini,IT,2022-07-21 2022-09-25,web,0,4,4
2022-07-25T00:00:00Z,4,matteo salvini,IT,2022-07-21 2022-09-25,web,0,4,4
2022-07-26T00:00:00Z,3,matteo salvini,IT,2022-07-21 2022-09-25,web,0,3,3
2022-07-27T00:00:00Z,5,matteo salvini,IT,2022-07-21 2022-09-25,web,0,5,5
2022-07-28T00:00:00Z,8,matteo salvini,IT,2022-07-21 2022-09-25,web,0,8,8
2022-07-29T00:00:00Z,6,matteo salvini,IT,2022-07-21 2022-09-25,web,0,6,6
2022-07-30T00:00:00Z,3,matteo salvini,IT,2022-07-21 2022-09-25,web,0,3,3
2022-07-31T00:00:00Z,1,matteo salvini,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-01T00:00:00Z,2,matteo salvini,IT,2022-07-21 2022-09-25,web,0,2,2
2022-08-02T00:00:00Z,3,matteo salvini,IT,2022-07-21 2022-09-25,web,0,3,3
2022-08-03T00:00:00Z,2,matteo salvini,IT,2022-07-21 2022-09-25,web,0,2,2
2022-08-04T00:00:00Z,2,matteo salvini,IT,2022-07-21 2022-09-25,web,0,2,2
2022-08-05T00:00:00Z,4,matteo salvini,IT,2022-07-21 2022-09-25,web,0,4,4
2022-08-06T00:00:00Z,4,matteo salvini,IT,2022-07-21 2022-09-25,web,0,4,4
2022-08-07T00:00:00Z,4,matteo salvini,IT,2022-07-21 2022-09-25,web,0,4,4
2022-08-08T00:00:00Z,4,matteo salvini,IT,2022-07-21 2022-09-25,web,0,4,4
2022-08-09T00:00:00Z,4,matteo salvini,IT,2022-07-21 2022-09-25,web,0,4,4
2022-08-10T00:00:00Z,4,matteo salvini,IT,2022-07-21 2022-09-25,web,0,4,4
2022-08-11T00:00:00Z,3,matteo salvini,IT,2022-07-21 2022-09-25,web,0,3,3
2022-08-12T00:00:00Z,2,matteo salvini,IT,2022-07-21 2022-09-25,web,0,2,2
2022-08-13T00:00:00Z,3,matteo salvini,IT,2022-07-21 2022-09-25,web,0,3,3
2022-08-14T00:00:00Z,2,matteo salvini,IT,2022-07-21 2022-09-25,web,0,2,2
2022-08-15T00:00:00Z,3,matteo salvini,IT,2022-07-21 2022-09-25,web,0,3,3
2022-08-16T00:00:00Z,4,matteo salvini,IT,2022-07-21 2022-09-25,web,0,4,4
2022-08-17T00:00:00Z,3,matteo salvini,IT,2022-07-21 2022-09-25,web,0,3,3
2022-08-18T00:00:00Z,2,matteo salvini,IT,2022-07-21 2022-09-25,web,0,2,2
2022-08-19T00:00:00Z,2,matteo salvini,IT,2022-07-21 2022-09-25,web,0,2,2
2022-08-20T00:00:00Z,3,matteo salvini,IT,2022-07-21 2022-09-25,web,0,3,3
2022-08-21T00:00:00Z,3,matteo salvini,IT,2022-07-21 2022-09-25,web,0,3,3
2022-08-22T00:00:00Z,3,matteo salvini,IT,2022-07-21 2022-09-25,web,0,3,3
2022-08-23T00:00:00Z,3,matteo salvini,IT,2022-07-21 2022-09-25,web,0,3,3
2022-08-24T00:00:00Z,5,matteo salvini,IT,2022-07-21 2022-09-25,web,0,5,5
2022-08-25T00:00:00Z,4,matteo salvini,IT,2022-07-21 2022-09-25,web,0,4,4
2022-08-26T00:00:00Z,5,matteo salvini,IT,2022-07-21 2022-09-25,web,0,5,5
2022-08-27T00:00:00Z,3,matteo salvini,IT,2022-07-21 2022-09-25,web,0,3,3
2022-08-28T00:00:00Z,4,matteo salvini,IT,2022-07-21 2022-09-25,web,0,4,4
2022-08-29T00:00:00Z,3,matteo salvini,IT,2022-07-21 2022-09-25,web,0,3,3
2022-08-30T00:00:00Z,3,matteo salvini,IT,2022-07-21 2022-09-25,web,0,3,3
2022-08-31T00:00:00Z,3,matteo salvini,IT,2022-07-21 2022-09-25,web,0,3,3
2022-09-01T00:00:00Z,6,matteo salvini,IT,2022-07-21 2022-09-25,web,0,6,6
2022-09-02T00:00:00Z,4,matteo salvini,IT,2022-07-21 2022-09-25,web,0,4,4
2022-09-03T00:00:00Z,2,matteo salvini,IT,2022-07-21 2022-09-25,web,0,2,2
